Station,Date(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Auckland, Sky Tower,20220110:1800,233,5.5,11.4,0.8,1,H
Auckland, Sky Tower,20220110:1900,217,5.8,10.6,0.8,1,H
Auckland, Sky Tower,20220110:2000,210,5.2,8.1,0.8,1,H
Auckland, Sky Tower,20220110:2100,205,6.0,4.3,0.8,1,H
Auckland, Sky Tower,20220110:2200,205,6.6,6.1,0.6,1,H
Auckland, Sky Tower,20220110:2300,198,5.2,9.2,0.5,1,H
Auckland, Sky Tower,20220111:0000,211,5.1,3.1,0.5,1,H
Auckland, Sky Tower,20220111:0100,201,5.7,2.0,0.3,1,H
Auckland, Sky Tower,20220111:0200,218,4.9,8.4,0.8,1,H
Auckland, Sky Tower,20220111:0300,242,2.9,9.0,0.3,1,H
Auckland, Sky Tower,20220111:0400,229,3.8,14.7,0.7,1,H
Auckland, Sky Tower,20220111:0500,221,4.3,4.0,0.3,1,H
Auckland, Sky Tower,20220111:0600,219,5.4,2.1,0.3,1,H
Auckland, Sky Tower,20220111:0700,223,5.0,4.6,0.4,1,H
Auckland, Sky Tower,20220111:0800,225,3.3,16.6,1.1,1,H
Auckland, Sky Tower,20220111:0900,239,2.7,22.3,0.9,1,H
Auckland, Sky Tower,20220111:1000,218,2.6,30.0,1.2,1,H
Auckland, Sky Tower,20220111:1100,205,4.1,16.6,1.1,1,H
Auckland, Sky Tower,20220111:1200,202,5.3,14.3,1.2,1,H
Auckland, Sky Tower,20220111:1300,205,5.9,10.8,1.2,1,H
Auckland, Sky Tower,20220111:1400,212,5.4,14.3,1.3,1,H
Auckland, Sky Tower,20220111:1500,194,6.7,9.8,0.9,1,H
Auckland, Sky Tower,20220111:1600,216,6.3,24.6,1.2,1,H
Auckland, Sky Tower,20220111:1700,222,6.0,21.4,1.4,1,H
Auckland, Sky Tower,20220111:1800,208,6.3,7.4,0.9,1,H
Auckland, Sky Tower,20220111:1900,210,6.6,6.6,0.7,1,H
Auckland, Sky Tower,20220111:2000,210,5.8,5.3,0.5,1,H
Auckland, Sky Tower,20220111:2100,215,4.7,6.7,0.5,1,H
Auckland, Sky Tower,20220111:2200,237,3.7,4.2,0.3,1,H
Auckland, Sky Tower,20220111:2300,234,4.1,4.3,0.5,1,H
Auckland, Sky Tower,20220112:0000,232,4.9,3.9,0.5,1,H
Auckland, Sky Tower,20220112:0100,236,3.5,7.9,0.4,1,H
Auckland, Sky Tower,20220112:0200,241,4.0,4.3,1.1,1,H
Auckland, Sky Tower,20220112:0300,239,5.7,2.6,0.4,1,H
Auckland, Sky Tower,20220112:0400,241,5.7,4.4,0.4,1,H
Auckland, Sky Tower,20220112:0500,240,5.6,9.8,0.7,1,H
Auckland, Sky Tower,20220112:0600,199,8.0,3.7,0.5,1,H
Auckland, Sky Tower,20220112:0700,195,6.4,3.4,1.1,1,H
Auckland, Sky Tower,20220112:0800,213,4.0,13.0,1.3,1,H
Auckland, Sky Tower,20220112:0900,206,5.1,11.5,1.1,1,H
Auckland, Sky Tower,20220112:1000,204,5.7,11.0,1.2,1,H
Auckland, Sky Tower,20220112:1100,206,6.8,13.1,1.2,1,H
Auckland, Sky Tower,20220112:1200,205,7.5,14.1,2.0,1,H
Auckland, Sky Tower,20220112:1300,205,9.3,7.1,1.4,1,H
Auckland, Sky Tower,20220112:1400,215,8.8,14.7,1.7,1,H
Auckland, Sky Tower,20220112:1500,229,8.1,15.4,1.4,1,H
Auckland, Sky Tower,20220112:1600,204,9.6,8.2,1.5,1,H
Auckland, Sky Tower,20220112:1700,205,9.4,6.8,1.2,1,H
Auckland, Sky Tower,20220112:1800,205,10.0,6.3,1.4,1,H
Auckland, Sky Tower,20220112:1900,206,10.8,4.5,0.9,1,H
Auckland, Sky Tower,20220112:2000,217,9.1,6.0,1.4,1,H
Auckland, Sky Tower,20220112:2100,212,6.7,6.7,1.2,1,H
Auckland, Sky Tower,20220112:2200,211,6.5,7.3,0.8,1,H
Auckland, Sky Tower,20220112:2300,204,8.4,7.9,1.2,1,H
Auckland, Sky Tower,20220113:0000,202,8.2,3.8,1.5,1,H
Auckland, Sky Tower,20220113:0100,208,6.9,3.0,0.8,1,H
Auckland, Sky Tower,20220113:0200,203,9.1,4.4,0.9,1,H
Auckland, Sky Tower,20220113:0300,197,8.6,5.1,1.1,1,H
Auckland, Sky Tower,20220113:0400,194,11.5,2.7,1.0,1,H
Auckland, Sky Tower,20220113:0500,194,11.0,2.5,1.8,1,H
Auckland, Sky Tower,20220113:0600,188,7.8,3.6,1.0,1,H
Auckland, Sky Tower,20220113:0700,179,6.5,10.8,1.5,1,H
Auckland, Sky Tower,20220113:0800,175,7.9,10.7,1.4,1,H
Auckland, Sky Tower,20220113:0900,176,6.1,13.1,1.6,1,H
Auckland, Sky Tower,20220113:1000,160,3.7,36.3,1.6,1,H
