Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Auckland Aero,20030618:0900,16.3,24,11.3,24,9.9,24,13.8,-,24,D
Auckland Aero,20030619:0900,17.2,24,11.3,24,8.9,24,14.3,-,24,D
Auckland Aero,20030620:0900,15.8,24,10.1,24,5.2,24,13.0,-,24,D
Auckland Aero,20030621:0900,16.8,24,10.6,24,5.6,24,13.7,-,24,D
Auckland Aero,20030622:0900,17.6,24,7.3,24,3.8,24,12.5,-,24,D
Auckland Aero,20030623:0900,16.7,24,9.9,24,8.7,24,13.3,-,24,D
Auckland Aero,20030624:0900,18.1,24,11.1,24,8.6,24,14.6,-,24,D
Auckland Aero,20030625:0900,16.3,24,9.7,24,5.2,24,13.0,-,24,D
Auckland Aero,20030626:0900,15.0,24,5.8,24,0.2,24,10.4,-,24,D
Auckland Aero,20030627:0900,13.1,24,5.0,24,0.8,24,9.1,-,24,D
Auckland Aero,20030628:0900,14.4,24,8.9,24,8.4,24,11.7,-,24,D
Auckland Aero,20030629:0900,16.0,24,13.7,24,12.1,24,14.9,-,24,D
Auckland Aero,20030630:0900,17.1,24,11.7,24,7.7,24,14.4,-,24,D
Auckland Aero,20030701:0900,18.6,24,12.8,24,12.0,24,15.7,-,24,D
Auckland Aero,20030702:0900,14.7,24,8.4,24,5.4,24,11.6,-,24,D
Auckland Aero,20030703:0900,13.6,24,7.8,24,5.4,24,10.7,-,24,D
Auckland Aero,20030704:0900,12.2,24,8.2,24,8.2,24,10.2,-,24,D
Auckland Aero,20030705:0900,13.7,24,6.3,24,5.9,24,10.0,-,24,D
Auckland Aero,20030706:0900,10.7,24,3.6,24,0.6,24,7.2,-,24,D
Auckland Aero,20030707:0900,10.2,24,2.6,24,-0.1,24,6.4,-,24,D
Auckland Aero,20030708:0900,14.5,24,6.8,24,5.5,24,10.7,-,24,D
Auckland Aero,20030709:0900,14.8,24,9.4,24,8.7,24,12.1,-,24,D
Auckland Aero,20030710:0900,15.1,24,8.1,24,4.8,24,11.6,-,24,D
Auckland Aero,20030711:0900,15.2,24,8.9,24,6.0,24,12.1,-,24,D
Auckland Aero,20030712:0900,14.3,24,4.9,24,0.9,24,9.6,-,24,D
Auckland Aero,20030713:0900,12.1,24,3.8,24,-0.1,24,8.0,-,24,D
Auckland Aero,20030714:0900,12.6,24,1.3,24,-1.5,24,7.0,-,24,D
Auckland Aero,20030715:0900,14.5,24,4.0,24,3.5,24,9.3,-,24,D
Auckland Aero,20030716:0900,13.2,24,5.9,24,3.6,24,9.6,-,24,D
Auckland Aero,20030717:0900,15.5,24,9.5,24,8.7,24,12.5,-,24,D
Auckland Aero,20030718:0900,14.9,24,7.9,24,4.1,24,11.4,-,24,D
Auckland Aero,20030719:0900,12.0,24,7.6,24,3.2,24,9.8,-,24,D
Auckland Aero,20030720:0900,13.9,24,3.9,24,0.2,24,8.9,-,24,D
Auckland Aero,20030721:0900,12.6,24,4.5,24,1.7,24,8.6,-,24,D
Auckland Aero,20030722:0900,13.0,24,2.1,24,-1.5,24,7.6,-,24,D
Auckland Aero,20030723:0900,12.7,24,2.1,24,-1.1,24,7.4,-,24,D
Auckland Aero,20030724:0900,14.0,24,1.9,24,-1.4,24,8.0,-,24,D
Auckland Aero,20030725:0900,14.4,24,3.5,24,-0.8,24,9.0,-,24,D
Auckland Aero,20030726:0900,15.1,24,5.0,24,0.8,24,10.1,-,24,D
Auckland Aero,20030727:0900,15.4,24,7.5,24,3.0,24,11.5,-,24,D
Auckland Aero,20030728:0900,14.0,24,11.1,24,10.0,24,12.6,-,24,D
Auckland Aero,20030729:0900,13.5,24,7.8,24,4.2,24,10.7,-,24,D
Auckland Aero,20030730:0900,16.4,24,8.6,24,7.0,24,12.5,-,24,D
Auckland Aero,20030731:0900,15.6,24,7.3,24,3.7,24,11.5,-,24,D
Auckland Aero,20030801:0900,14.4,24,8.6,24,5.5,24,11.5,-,24,D
Auckland Aero,20030802:0900,14.5,24,10.1,24,8.7,24,12.3,-,24,D
Auckland Aero,20030803:0900,14.3,24,8.4,24,5.1,24,11.4,-,24,D
Auckland Aero,20030804:0900,15.0,24,5.0,24,-,-,10.0,-,24,D
Auckland Aero,20030805:0900,14.5,24,5.2,24,0.2,24,9.9,-,24,D
Auckland Aero,20030806:0900,14.0,24,3.3,24,0.0,24,8.7,-,24,D
Auckland Aero,20030807:0900,14.6,24,4.1,24,0.8,24,9.4,-,24,D
Auckland Aero,20030808:0900,15.6,24,8.1,24,3.1,24,11.9,-,24,D
Auckland Aero,20030809:0900,16.2,24,8.9,24,5.8,24,12.6,-,24,D
Auckland Aero,20030810:0900,16.1,24,8.8,24,5.1,24,12.5,-,24,D
Auckland Aero,20030811:0900,15.6,24,10.3,24,9.5,24,13.0,-,24,D
Auckland Aero,20030812:0900,14.9,24,10.8,24,8.9,24,12.9,-,24,D
Auckland Aero,20030813:0900,16.6,24,8.1,24,5.5,24,12.4,-,24,D
Auckland Aero,20030814:0900,15.7,24,6.0,24,1.4,24,10.9,-,24,D
Auckland Aero,20030815:0900,15.6,24,7.4,24,3.0,24,11.5,-,24,D
Auckland Aero,20030816:0900,14.6,24,9.5,24,7.5,24,12.1,-,24,D
Auckland Aero,20030817:0900,15.0,24,9.3,24,6.7,24,12.2,-,24,D
Auckland Aero,20030818:0900,14.7,24,8.9,24,6.0,24,11.8,-,24,D
Auckland Aero,20030819:0900,15.0,24,4.9,24,1.9,24,10.0,-,24,D
Auckland Aero,20030820:0900,14.1,24,8.1,24,8.2,24,11.1,-,24,D
Auckland Aero,20030821:0900,12.5,24,9.6,24,8.3,24,11.1,-,24,D
Auckland Aero,20030822:0900,13.4,24,10.4,24,8.4,24,11.9,-,24,D
Auckland Aero,20030823:0900,17.6,24,10.7,24,8.9,24,14.2,-,24,D
Auckland Aero,20030824:0900,17.1,24,10.0,24,7.5,24,13.6,-,24,D
Auckland Aero,20030825:0900,17.8,24,8.1,24,4.0,24,13.0,-,24,D
Auckland Aero,20030826:0900,16.4,24,9.1,24,5.4,24,12.8,-,24,D
Auckland Aero,20030827:0900,16.3,24,11.3,24,8.9,24,13.8,-,24,D
Auckland Aero,20030828:0900,13.6,24,7.1,24,4.5,24,10.4,-,24,D
Auckland Aero,20030829:0900,15.3,24,8.1,24,3.3,24,11.7,-,24,D
Auckland Aero,20030830:0900,15.2,24,6.7,24,2.9,24,11.0,-,24,D
Auckland Aero,20030831:0900,15.4,24,5.0,24,2.0,24,10.2,-,24,D
Auckland Aero,20030901:0900,15.1,24,6.1,24,3.3,24,10.6,-,24,D
Auckland Aero,20030902:0900,16.2,24,11.8,24,11.0,24,14.0,-,24,D
Auckland Aero,20030903:0900,14.8,24,8.3,24,7.2,24,11.6,-,24,D
Auckland Aero,20030904:0900,16.0,24,9.7,24,-,-,12.9,-,24,D
Auckland Aero,20030905:0900,15.3,24,9.4,24,8.8,24,12.4,-,24,D
Auckland Aero,20030906:0900,12.9,24,10.0,24,10.1,24,11.5,-,24,D
Auckland Aero,20030907:0900,14.4,24,10.0,24,7.1,24,12.2,-,24,D
Auckland Aero,20030908:0900,15.8,24,10.1,24,8.6,24,13.0,-,24,D
Auckland Aero,20030909:0900,14.7,24,7.0,24,5.0,24,10.9,-,24,D
Auckland Aero,20030910:0900,15.3,24,7.1,24,3.3,24,11.2,-,24,D
Auckland Aero,20030911:0900,15.2,24,6.8,24,4.0,24,11.0,-,24,D
Auckland Aero,20030912:0900,15.8,24,6.7,24,4.3,24,11.3,-,24,D
Auckland Aero,20030913:0900,15.3,24,6.4,24,3.9,24,10.9,-,24,D
Auckland Aero,20030914:0900,16.3,24,11.7,24,10.9,24,14.0,-,24,D
Auckland Aero,20030915:0900,18.0,24,10.8,24,9.9,24,14.4,-,24,D
Auckland Aero,20030916:0900,19.2,24,13.0,24,11.8,24,16.1,-,24,D
Auckland Aero,20030917:0900,18.6,24,12.0,24,11.3,24,15.3,-,24,D
Auckland Aero,20030918:0900,17.0,24,11.0,24,-,-,14.0,-,24,D
Auckland Aero,20030919:0900,19.4,24,15.2,24,13.0,24,17.3,-,24,D
Auckland Aero,20030920:0900,17.9,24,9.6,24,8.8,24,13.8,-,24,D
Auckland Aero,20030921:0900,19.0,24,12.0,24,-,-,15.5,-,24,D
Auckland Aero,20030922:0900,17.0,24,11.0,24,-,-,14.0,-,24,D
Auckland Aero,20030923:0900,15.2,24,11.7,24,10.4,24,13.5,-,24,D
Auckland Aero,20030924:0900,16.6,24,13.0,24,11.9,24,14.8,-,24,D
Auckland Aero,20030925:0900,18.0,24,14.4,24,14.2,24,16.2,-,24,D
Auckland Aero,20030926:0900,19.0,24,11.0,24,-,-,15.0,-,24,D
Auckland Aero,20030927:0900,18.1,24,16.0,24,15.2,24,17.1,-,24,D
Auckland Aero,20030928:0900,18.2,24,14.9,24,14.3,24,16.6,-,24,D
Auckland Aero,20030929:0900,20.3,24,9.0,24,9.6,24,14.7,-,24,D
Auckland Aero,20030930:0900,14.9,24,9.1,24,9.0,24,12.0,-,24,D
Auckland Aero,20031001:0900,16.7,24,8.1,24,8.9,24,12.4,-,24,D
Auckland Aero,20031002:0900,14.1,24,8.9,24,9.4,24,11.5,-,24,D
Auckland Aero,20031003:0900,16.1,24,9.3,24,9.8,24,12.7,-,24,D
Auckland Aero,20031004:0900,16.9,24,11.1,24,12.8,24,14.0,-,24,D
Auckland Aero,20031005:0800,14.3,24,10.0,24,8.0,24,12.2,-,24,D
Auckland Aero,20031006:0800,15.1,24,5.0,24,6.3,24,10.1,-,24,D
Auckland Aero,20031007:0800,15.2,24,4.0,24,6.2,24,9.6,-,24,D
Auckland Aero,20031008:0800,14.9,24,6.9,24,7.7,24,10.9,-,24,D
Auckland Aero,20031009:0800,16.3,24,11.7,24,11.2,24,14.0,-,24,D
Auckland Aero,20031010:0800,16.1,24,13.6,24,12.9,24,14.9,-,24,D
Auckland Aero,20031011:0800,17.9,24,10.0,24,11.0,24,14.0,-,24,D
Auckland Aero,20031012:0800,18.5,24,14.1,24,14.4,24,16.3,-,24,D
Auckland Aero,20031013:0800,19.3,24,10.5,24,11.7,24,14.9,-,24,D
Auckland Aero,20031014:0800,17.0,24,9.1,24,9.9,24,13.1,-,24,D
Auckland Aero,20031015:0800,16.3,24,7.1,24,8.4,24,11.7,-,24,D
Auckland Aero,20031016:0800,15.9,24,7.3,24,9.3,24,11.6,-,24,D
Auckland Aero,20031017:0800,17.3,24,11.9,24,12.5,24,14.6,-,24,D
Auckland Aero,20031018:0800,17.0,24,12.9,24,12.4,24,15.0,-,24,D
Auckland Aero,20031019:0800,17.2,24,12.7,24,12.5,24,15.0,-,24,D
Auckland Aero,20031020:0800,18.3,24,8.5,24,10.1,24,13.4,-,24,D
Auckland Aero,20031021:0800,19.9,24,11.2,24,10.9,24,15.6,-,24,D
Auckland Aero,20031022:0800,21.0,24,10.7,24,10.8,24,15.9,-,24,D
Auckland Aero,20031023:0800,20.9,24,11.8,24,11.7,24,16.4,-,24,D
Auckland Aero,20031024:0800,20.6,24,14.4,24,13.8,24,17.5,-,24,D
Auckland Aero,20031025:0800,19.3,24,12.8,24,11.8,24,16.1,-,24,D
Auckland Aero,20031026:0800,18.4,24,6.8,24,8.4,24,12.6,-,24,D
Auckland Aero,20031027:0800,16.3,24,6.7,24,6.8,24,11.5,-,24,D
Auckland Aero,20031028:0800,18.1,24,13.6,24,12.8,24,15.9,-,24,D
Auckland Aero,20031029:0800,18.9,24,10.9,24,12.0,24,14.9,-,24,D
Auckland Aero,20031030:0800,18.4,24,10.0,24,10.6,24,14.2,-,24,D
Auckland Aero,20031031:0800,17.8,24,12.2,24,12.5,24,15.0,-,24,D
Auckland Aero,20031101:0800,19.1,24,12.4,24,12.4,24,15.8,-,24,D
Auckland Aero,20031102:0800,21.4,24,13.8,24,13.2,24,17.6,-,24,D
Auckland Aero,20031103:0800,19.9,24,10.6,24,10.7,24,15.3,-,24,D
Auckland Aero,20031104:0800,16.2,24,11.1,24,10.3,24,13.7,-,24,D
Auckland Aero,20031105:0800,16.5,24,8.1,24,7.8,24,12.3,-,24,D
Auckland Aero,20031106:0800,17.3,24,11.9,24,11.6,24,14.6,-,24,D
Auckland Aero,20031107:0800,18.3,24,10.1,24,7.0,24,14.2,-,24,D
Auckland Aero,20031108:0800,19.0,24,11.8,24,9.3,24,15.4,-,24,D
Auckland Aero,20031109:0800,19.7,24,11.0,24,7.5,24,15.4,-,24,D
Auckland Aero,20031110:0800,18.6,24,9.6,24,3.0,24,14.1,-,24,D
Auckland Aero,20031111:0800,18.4,24,12.3,24,11.2,24,15.4,-,24,D
Auckland Aero,20031112:0800,18.8,24,13.5,24,13.8,24,16.2,-,24,D
Auckland Aero,20031113:0800,21.1,24,13.5,24,11.1,24,17.3,-,24,D
Auckland Aero,20031114:0800,17.9,24,10.7,24,8.5,24,14.3,-,24,D
