
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20220802:2359,6.6,24,D
Auckland, North Shore Albany Ews,20220803:2359,4.7,24,D
Auckland, North Shore Albany Ews,20220804:2359,7.6,24,D
Auckland, North Shore Albany Ews,20220805:2359,6.3,24,D
Auckland, North Shore Albany Ews,20220806:2359,4.4,24,D
Auckland, North Shore Albany Ews,20220807:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220808:2359,1.9,24,D
Auckland, North Shore Albany Ews,20220809:2359,2.2,24,D
Auckland, North Shore Albany Ews,20220810:2359,1.9,24,D
Auckland, North Shore Albany Ews,20220811:2359,9.5,24,D
Auckland, North Shore Albany Ews,20220812:2359,9.6,24,D
Auckland, North Shore Albany Ews,20220813:2359,4.6,24,D
Auckland, North Shore Albany Ews,20220814:2359,1.3,24,D
Auckland, North Shore Albany Ews,20220815:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220816:2359,0.1,24,D
Auckland, North Shore Albany Ews,20220817:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220818:2359,0.1,24,D
Auckland, North Shore Albany Ews,20220819:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220820:2359,4.8,24,D
Auckland, North Shore Albany Ews,20220821:2359,8.1,24,D
Auckland, North Shore Albany Ews,20220822:2359,4.9,24,D
Auckland, North Shore Albany Ews,20220823:2359,8.4,24,D
Auckland, North Shore Albany Ews,20220824:2359,2.7,24,D
Auckland, North Shore Albany Ews,20220825:2359,0.1,24,D
Auckland, North Shore Albany Ews,20220826:2359,2.6,24,D
Auckland, North Shore Albany Ews,20220827:2359,8.0,24,D
Auckland, North Shore Albany Ews,20220828:2359,10.3,24,D
Auckland, North Shore Albany Ews,20220829:2359,7.1,24,D
Auckland, North Shore Albany Ews,20220830:2359,8.4,24,D
Auckland, North Shore Albany Ews,20220831:2359,9.9,24,D
Auckland, North Shore Albany Ews,20220901:2359,7.3,24,D
Auckland, North Shore Albany Ews,20220902:2359,8.9,24,D
Auckland, North Shore Albany Ews,20220903:2359,6.5,24,D
Auckland, North Shore Albany Ews,20220904:2359,5.2,24,D
Auckland, North Shore Albany Ews,20220905:2359,0.3,24,D
Auckland, North Shore Albany Ews,20220906:2359,10.2,24,D
Auckland, North Shore Albany Ews,20220907:2359,5.9,24,D
Auckland, North Shore Albany Ews,20220908:2359,7.9,24,D
Auckland, North Shore Albany Ews,20220909:2359,10.2,24,D
Auckland, North Shore Albany Ews,20220910:2359,5.7,24,D
Auckland, North Shore Albany Ews,20220911:2359,6.5,24,D
Auckland, North Shore Albany Ews,20220912:2359,3.7,24,D
Auckland, North Shore Albany Ews,20220913:2359,5.2,24,D
Auckland, North Shore Albany Ews,20220914:2359,7.9,24,D
Auckland, North Shore Albany Ews,20220915:2359,10.3,24,D
Auckland, North Shore Albany Ews,20220916:2359,4.3,24,D
Auckland, North Shore Albany Ews,20220917:2359,7.2,24,D
Auckland, North Shore Albany Ews,20220918:2359,9.3,24,D
Auckland, North Shore Albany Ews,20220919:2359,0.4,24,D
Auckland, North Shore Albany Ews,20220920:2359,5.2,24,D
Auckland, North Shore Albany Ews,20220921:2359,5.2,24,D
Auckland, North Shore Albany Ews,20220922:2359,1.2,24,D
Auckland, North Shore Albany Ews,20220923:2359,4.1,24,D
Auckland, North Shore Albany Ews,20220924:2359,7.0,24,D
Auckland, North Shore Albany Ews,20220925:2259,9.2,24,D
Auckland, North Shore Albany Ews,20220926:2259,2.3,24,D
Auckland, North Shore Albany Ews,20220927:2259,6.8,24,D
Auckland, North Shore Albany Ews,20220928:2259,6.9,24,D
Auckland, North Shore Albany Ews,20220929:2259,2.2,24,D
Auckland, North Shore Albany Ews,20220930:2259,0.0,24,D
Auckland, North Shore Albany Ews,20221001:2259,0.0,24,D
Auckland, North Shore Albany Ews,20221002:2259,3.2,24,D
Auckland, North Shore Albany Ews,20221003:2259,1.2,24,D
Auckland, North Shore Albany Ews,20221004:2259,2.7,24,D
Auckland, North Shore Albany Ews,20221005:2259,4.1,24,D
Auckland, North Shore Albany Ews,20221006:2259,6.7,24,D
Auckland, North Shore Albany Ews,20221007:2259,10.9,24,D
Auckland, North Shore Albany Ews,20221008:2259,5.2,24,D
Auckland, North Shore Albany Ews,20221009:2259,3.6,24,D
Auckland, North Shore Albany Ews,20221010:2259,4.6,24,D
Auckland, North Shore Albany Ews,20221011:2259,6.7,24,D
Auckland, North Shore Albany Ews,20221012:2259,0.1,24,D
Auckland, North Shore Albany Ews,20221013:2259,7.4,24,D
Auckland, North Shore Albany Ews,20221014:2259,0.4,24,D
Auckland, North Shore Albany Ews,20221015:2259,9.6,24,D
Auckland, North Shore Albany Ews,20221016:2259,11.0,24,D
Auckland, North Shore Albany Ews,20221017:2259,2.6,24,D
Auckland, North Shore Albany Ews,20221018:2259,7.8,24,D
Auckland, North Shore Albany Ews,20221019:2259,7.1,24,D
Auckland, North Shore Albany Ews,20221020:2259,6.9,24,D
Auckland, North Shore Albany Ews,20221021:2259,5.7,24,D
Auckland, North Shore Albany Ews,20221022:2259,11.7,24,D
Auckland, North Shore Albany Ews,20221023:2259,11.8,24,D
Auckland, North Shore Albany Ews,20221024:2259,7.2,24,D
Auckland, North Shore Albany Ews,20221025:2259,4.3,24,D
Auckland, North Shore Albany Ews,20221026:2259,5.6,24,D
Auckland, North Shore Albany Ews,20221027:2259,12.2,24,D
Auckland, North Shore Albany Ews,20221028:2259,5.2,24,D
Auckland, North Shore Albany Ews,20221029:2259,2.5,24,D
